GRANDEMENTE	grandemente	646908.4	grande
GRANDISSIMO	grandíssimo	646648.4	grande
GRANDISSIMA	grandíssima	646644.9	grande
GRANDISSIMAMENTE	grandissimamente	646642.1000000001	grandissimamente;grande
GRANDISSIMAS	grandíssimas	646641.0	grande
GRANDISSIMOS	grandíssimos	646638.9	grande
BOM	bom	646353.0	bom
ESTADOS	estados	643335.6	estar
IR	ir	642168.0	ir
ALGUEM	alguém	637668.0	alguém
FORMAS	formas	636560.1	formar;forma
ESTAVAM	estavam	632081.5	estar
FORMINHAS	forminhas	627367.1	forma
FORMINHA	forminha	627360.2	forma
ESTEJA	esteja	626396.5	estar
ESTIVER	estiver	624030.4	estar
ESTAVAS	estavas	622724.4	estar
ESTEVE	esteve	622426.1	estevar;estar
ESTARA	estará	621365.4	estar
ESTIVE	estive	620880.5	estivar;estar
ESTIVESSE	estivesse	620723.6	estar
ESTAVAMOS	estávamos	620412.0	estar
ESTARIA	estaria	618867.4	estar
ESTEJAM	estejam	617983.7	estar
ANOS	anos	617936.2	ano
ESTARAO	estarão	616989.1	estar
ESTAREI	estarei	616676.9	estar
NOITE	noite	616480.0	noite
ESTIVESTE	estiveste	615977.9	estar
ESTEJAS	estejas	615953.2999999999	estar
ESTIVEREM	estiverem	615872.7999999999	estar
ESTAREMOS	estaremos	615747.2	estar
ESTIVERAM	estiveram	615689.7	estar
ESTARES	estares	615567.2	estar
ESTAREM	estarem	615507.9	estar
ESTIVERES	estiveres	615427.7999999999	estar
ESTIVEMOS	estivemos	615174.7999999999	estivar;estar
ESTARMOS	estarmos	615072.2	estarmo;estar
ESTIVESSEM	estivessem	614927.2999999999	estar
ESTANDO	estando	614830.2	estar
ESTIVESSES	estivesses	614823.1	estar
ESTAIS	estais	614716.9	estar
ESTARIAM	estariam	614663.2	estar
ESTIVERMOS	estivermos	614508.7999999999	estar
ESTARIAS	estarias	614447.6	estar
ESTARAS	estarás	614437.0	estar
ESTEJAMOS	estejamos	614417.9	estar
ESTARIAMOS	estaríamos	614394.1	estar
ESTAVEIS	estáveis	614288.7999999999	estar
ESTIVESSEMOS	estivéssemos	614212.6	estar
ESTANTE	estante	613831.4	estar
ESTADA	estada	613800.7999999999	estar
ESTIVERA	estivera	613739.2999999999	estar
ESTANTES	estantes	613721.7999999999	estar
ESTAREIS	estareis	613688.2999999999	estar
ESTIVERDES	estiverdes	613687.2	estar
ESTEJAIS	estejais	613685.2999999999	estar
ESTADAO	estadão	613678.6	estadão;estar
ESTIVESTES	estivestes	613674.6	estar
ESTAI	estai	613657.5	estar
ESTIVESSEIS	estivésseis	613646.1	estar
ESTARDES	estardes	613643.6	estardar;estar
ESTARIEIS	estaríeis	613641.0	estar
ESTADAS	estadas	613638.5	estar
ESTAMENTO	estamento	613629.4	estar
ESTAMENTOS	estamentos	613628.9	estar
ESTIVERAMOS	estivéramos	613626.1	estar
ESTIVERAS	estiveras	613625.4	estar
ESTADINHO	estadinho	613624.1	estar
ESTADOR	estador	613624.0	estar
ESTIVEREIS	estivéreis	613623.7999999999	estar
SIMA	sima	605110.3	sim
SINS	sins	605095.7000000001	sim
SIMAS	simas	605085.4	sim
TODINHO	todinho	600786.1000000001	todo
TODINHA	todinha	600781.5	todo
TODINHOS	todinhos	600775.9	todo
TODINHAS	todinhas	600774.8	todo
IA	ia	600563.9	ir
MAE	mãe	597226.0	mãe
NEMA	nema	596292.3	nem
NENS	nens	596280.0000000001	nem
NEMAS	nemas	596279.8	nem
ESSE	esse	595224.0	esse
IRA	irá	594401.6000000001	ir;irar
ESSA	essa	593892.2999999999	esse
DELE	dele	590095.0	dele;delir
BONS	bons	589693.0000000001	bom
ALGO	algo	586642.0	algo
IRIA	iria	585890.3	iriar;ir
NOSSA	nossa	585548.1000000001	nosso
NOSSO	nosso	584912.0	nosso
IRAO	irão	584533.3	ir
TI	ti	583770.0	ti
IAS	ias	581759.4	ir
IDO	ido	581737.9	ir
BOMA	boma	581726.9	bom
BOMAS	bomas	581718.2000000001	bom
IREI	irei	581317.8	ir;irar
INDO	indo	581123.7000000001	ir
IAM	iam	580915.4	ir
IREMOS	iremos	580707.3	ir;irar
TIPO	tipo	580459.0	tipo
IRES	ires	579747.0000000001	ir;irar
IRMOS	irmos	579733.0000000001	ir
IRIAM	iriam	579281.5000000001	iriar;ir
IRAS	irás	579274.1000000001	ir
IREM	irem	579083.4	ir;irar
IDA	ida	578790.3	ir
IRIAS	irias	578636.6000000001	iriar;ir
IRIAMOS	iríamos	578422.4	ir
IDE	ide	578336.0000000001	ir
IDES	ides	578144.5000000001	ir
IREIS	ireis	578141.8	ir;irar
IDAS	idas	578060.3	ir
IDOS	idos	578009.5000000001	ir
IRIEIS	iríeis	577965.4	ir
IRDES	irdes	577964.6000000001	ir
IMENTO	imento	577952.1000000001	ir
IDINHA	idinha	577951.9	ir
IDOR	idor	577951.7000000001	ir
IMENTOS	imentos	577951.5000000001	ir
IDAO	idão	577951.5000000001	ir
IDORES	idores	577951.3	ir
IDORA	idora	577951.3	ir
DELA	dela	565912.8	dele
DELES	deles	561239.2	dele;delir
NOSSOS	nossos	560121.2000000001	nosso
NOITES	noites	559269.5	noite
ESSAS	essas	556230.6	esse
ESSES	esses	556222.7999999999	esse
NOITINHA	noitinha	554847.7	noite
NOITINHAS	noitinhas	554832.7	noite
DAR	dar	553431.0	dar
HOJE	hoje	548928.0	hoje
NOSSAS	nossas	547541.6000000001	nosso
MAES	mães	540297.9	mãe
VEZES	vezes	540106.0	vezar
DELAS	delas	539840.7	dele
ANO	ano	539067.0	ano
TIPOS	tipos	538073.0	tipo
TALVEZ	talvez	535464.0	talvez
DADOS	dados	531037.6	dar
QUAL	qual	530987.0	qual
ALGAS	algas	528465.5	algo
ALGA	alga	528064.7000000001	algo
ALGOS	algos	527979.9	algo
DESTE	deste	526692.3	deste;dar
TIS	tis	525408.1	ti
TIPA	tipa	522688.2	tipo
TIPAS	tipas	522489.60000000003	tipo
TIPINHO	tipinho	522420.00000000006	tipo
TIPINHOS	tipinhos	522414.9	tipo
TIPINHA	tipinha	522414.10000000003	tipo
TIPINHAS	tipinhas	522413.30000000005	tipo
TIPOES	tipões	522413.30000000005	tipo
TIPAO	tipão	522413.2	tipo
SEI	sei	519215.69999999995	saber
DEU	deu	518536.9	dar
PRIMEIRO	primeiro	516536.0	primeiro
CIDADE	cidade	516329.0	cidade
OUTROS	outros	514198.30000000005	outro
FICAR	ficar	513793.0	ficar
PRIMEIRA	primeira	512518.9	primeiro
DESSE	desse	512240.9	desse;dessar;dar
DESSES	desses	507659.10000000003	desse;dessar;dar
DESTES	destes	506872.5	deste;dar
DADO	dado	506394.9	dar
DEI	dei	504349.30000000005	dar
DOU	dou	504167.7	dar
DAO	dão	503274.5	dar
DERAM	deram	502515.10000000003	dar
DADA	dada	502244.4	dar
OUTRA	outra	502105.4	outro
DANDO	dando	501464.2	dar
OUTRO	outro	500989.0	outro
DAVA	dava	500959.80000000005	dar
DER	der	500502.80000000005	dar
DERA	dera	500328.80000000005	dar
DARA	dará	500109.60000000003	dar
